epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
3,train,6,tom,0.5290940403938293,0.5685335993766785,0.5481052398681641,0.44999998807907104,11166.0,9938.0,8474.0,76073.0,19640.0
3,train,7,floor_tom,0.5333693623542786,0.35264694690704346,0.4245770275592804,0.5,5922.0,5181.0,10871.0,83677.0,16793.0
3,train,8,vibraslap,0.17776544392108917,0.27277886867523193,0.21525368094444275,0.375,961.0,4445.0,2562.0,97683.0,3523.0
3,train,9,crash,0.20131374895572662,0.21654197573661804,0.2086503654718399,0.699999988079071,521.0,2067.0,1885.0,101178.0,2406.0
3,train,10,ride_bow,0.3065006136894226,0.4939621388912201,0.3782804608345032,0.3999999761581421,3027.0,6849.0,3101.0,92674.0,6128.0
3,train,11,ride_bell,0.1617647111415863,0.33094555139541626,0.21730950474739075,0.5249999761581421,462.0,2394.0,934.0,101861.0,1396.0
3,train,12,chinese_cymbal,0.4366075396537781,0.29502925276756287,0.3521201014518738,0.574999988079071,1009.0,1302.0,2411.0,100929.0,3420.0
3,train,13,splash_cymbal,0.3232177197933197,0.6033268570899963,0.4209316074848175,0.675000011920929,4026.0,8430.0,2647.0,90548.0,6673.0
4,train,0,kick,0.7534246444702148,0.768272876739502,0.7607763409614563,0.5249999761581421,21285.0,6966.0,6420.0,70980.0,27705.0
4,train,1,xstick,0.5782951712608337,0.3101711869239807,0.40377554297447205,0.574999988079071,1540.0,1123.0,3425.0,99563.0,4965.0
4,train,2,snare,0.6158190369606018,0.7410107254981995,0.6726393103599548,0.3499999940395355,23988.0,14965.0,8384.0,58314.0,32372.0
4,train,3,hihat_pedal,0.2844814956188202,0.5117923021316528,0.3656919002532959,0.47499996423721313,7747.0,19485.0,7390.0,71029.0,15137.0
4,train,4,hihat_closed,0.3115064799785614,0.4200142025947571,0.3577127754688263,0.375,2959.0,6540.0,4086.0,92066.0,7045.0
4,train,5,hihat_open,0.31820961833000183,0.4416157603263855,0.36989128589630127,0.574999988079071,2602.0,5575.0,3290.0,94184.0,5892.0
4,train,6,tom,0.48495203256607056,0.6384784579277039,0.5512248873710632,0.42499998211860657,12488.0,13263.0,7071.0,72829.0,19559.0
4,train,7,floor_tom,0.46955668926239014,0.5133059620857239,0.4904576539993286,0.44999998807907104,8622.0,9740.0,8175.0,79114.0,16797.0
4,train,8,vibraslap,0.15621155500411987,0.3683294653892517,0.21938157081604004,0.375,1270.0,6860.0,2178.0,95343.0,3448.0
4,train,9,crash,0.2625215947628021,0.06211687624454498,0.1004626452922821,0.5249999761581421,152.0,427.0,2295.0,102777.0,2447.0
4,train,10,ride_bow,0.3033047616481781,0.505702793598175,0.3791857361793518,0.44999998807907104,3148.0,7231.0,3077.0,92195.0,6225.0
4,train,11,ride_bell,0.21058964729309082,0.24038460850715637,0.22450289130210876,0.2749999761581421,350.0,1312.0,1106.0,102883.0,1456.0
4,train,12,chinese_cymbal,0.3607420325279236,0.42323529720306396,0.38949787616729736,0.7249999642372131,1439.0,2550.0,1961.0,99701.0,3400.0
4,train,13,splash_cymbal,0.4615544080734253,0.3339832127094269,0.3875402510166168,0.550000011920929,2227.0,2598.0,4441.0,96385.0,6668.0
5,train,0,kick,0.7484045028686523,0.7706743478775024,0.7593761682510376,0.574999988079071,21108.0,7096.0,6281.0,71166.0,27389.0
5,train,1,xstick,0.5259385704994202,0.31081080436706543,0.39072006940841675,0.7249999642372131,1541.0,1389.0,3417.0,99304.0,4958.0
5,train,2,snare,0.6043074727058411,0.7381553649902344,0.6645589470863342,0.375,23962.0,15690.0,8500.0,57499.0,32462.0
5,train,3,hihat_pedal,0.28462955355644226,0.5076768398284912,0.3647574484348297,0.42499998211860657,7572.0,19031.0,7343.0,71705.0,14915.0
