epoch,split,loss,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,fr_avg,fr_max,threshold_mean,lr
1,train,0.5540881733796081,0.5026956796646118,0.3092467188835144,0.38292616605758667,0.3444826602935791,0.19724692404270172,0.24510249495506287,0.17033439874649048,15.512359308373343,26.172087912267806,0.4107142984867096,0.0003
2,train,0.4860362651500416,0.4234008193016052,0.5996218323707581,0.4963338375091553,0.34161871671676636,0.4896157681941986,0.3931269347667694,0.15221814811229706,14.992190376907894,21.023069726417166,0.4607142508029938,0.0003
3,train,0.46957998489361163,0.4539150893688202,0.5928441882133484,0.5141600966453552,0.3780231475830078,0.4695887565612793,0.40430814027786255,0.18254441022872925,15.000888801213108,20.58946993190689,0.5035714507102966,0.0003
4,train,0.46753551551132283,0.4766041338443756,0.5865944623947144,0.5259099006652832,0.39794063568115234,0.44845810532569885,0.4051957428455353,0.19111035764217377,15.012349289305494,20.409874764303233,0.47499996423721313,0.0003
5,train,0.4677468090858781,0.46887004375457764,0.5893698334693909,0.5222594141960144,0.39037221670150757,0.4531565308570862,0.4038999080657959,0.18184399604797363,15.000631467275083,20.332769158968127,0.4839286208152771,0.0003
6,train,0.4534618409446934,0.4601896405220032,0.5658054351806641,0.5075615048408508,0.37112095952033997,0.42221149802207947,0.38095933198928833,0.19789685308933258,14.985427995077558,20.29214384308878,0.4660714268684387,0.0003
7,train,0.45717226153644236,0.45344215631484985,0.5591675043106079,0.5007854700088501,0.36681872606277466,0.4169958531856537,0.37573057413101196,0.19399721920490265,14.99376519501823,20.310723272256602,0.46607136726379395,0.0003
8,train,0.4586454218632736,0.4584408402442932,0.5458807349205017,0.49835437536239624,0.3719964921474457,0.40317031741142273,0.3720557391643524,0.20007382333278656,15.011398859850065,19.341731043890128,0.4464285671710968,0.00015
9,train,0.46223070809391426,0.4545056223869324,0.5419743657112122,0.49440109729766846,0.3636585772037506,0.39838939905166626,0.3668530583381653,0.1983511745929718,14.993982485032385,19.37382785715095,0.46964284777641296,0.00015
10,train,0.4655699278646305,0.4538532793521881,0.5372787117958069,0.4920549690723419,0.36038973927497864,0.39282670617103577,0.36367085576057434,0.194527268409729,14.996395613337054,19.44548615204934,0.4464285373687744,0.00015
11,train,0.46369563376496997,0.45104050636291504,0.5356550216674805,0.4897196590900421,0.3583295941352844,0.3928225040435791,0.3625602126121521,0.1912996619939804,14.99244349151579,19.50878098385035,0.4732142984867096,0.00015
12,train,0.4634942088957272,0.4587547481060028,0.5287309885025024,0.4912635087966919,0.3638913631439209,0.38356637954711914,0.36095038056373596,0.19676102697849274,14.99168958640835,18.77262786761838,0.4482142925262451,7.5e-05
13,train,0.46025956757070824,0.46204057335853577,0.5345613360404968,0.4956623315811157,0.3676624000072479,0.38933315873146057,0.3654176592826843,0.1994396597146988,14.998118457759531,18.721346427425335,0.45000001788139343,7.5e-05
1,validation,0.46050154520085784,0.39570632576942444,0.5736115574836731,0.4683328866958618,0.3095628619194031,0.44111791253089905,0.35881298780441284,0.18398429453372955,0.0,0.0,0.4107142984867096,0.0003
2,validation,0.4363015499214035,0.417948842048645,0.5868775844573975,0.48821327090263367,0.3490491211414337,0.45614251494407654,0.38675686717033386,0.1919350028038025,0.0,0.0,0.4607142508029938,0.0003
3,validation,0.43728565351078275,0.43705305457115173,0.588872492313385,0.501729428768158,0.3600885570049286,0.45914626121520996,0.3947453796863556,0.21844564378261566,0.0,0.0,0.5035714507102966,0.0003
4,validation,0.434450451137294,0.4245127737522125,0.5970515608787537,0.49621155858039856,0.34648391604423523,0.4720688462257385,0.389497846364975,0.20478035509586334,0.0,0.0,0.47499996423721313,0.0003
