epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold
1,289.6070885658264,0.2463062090968155,0.2084373279449043,0.5448392629623413,0.34387606382369995,0.11410550773143768,0.05533256754279137,0.5
2,290.5659668445587,0.19246926402457135,0.1783265125587446,0.6476761698722839,0.46905770897865295,0.11410550773143768,0.0771215632557869,0.5
3,288.44228863716125,0.17180262617210842,0.16542542732636864,0.6583850979804993,0.4753618836402893,0.11410550773143768,0.07052752375602722,0.5
4,287.1197335720062,0.1625750909819258,0.15540545891731158,0.715133547782898,0.5505334734916687,0.11410550773143768,0.0791284367442131,0.5
5,289.6326222419739,0.1466780954503575,0.15019361620102453,0.7087087035179138,0.5512893795967102,0.11410550773143768,0.07683486491441727,0.5
6,290.7630364894867,0.14463988834421068,0.1465373275750274,0.7291361689567566,0.5679358243942261,0.11410550773143768,0.08170871436595917,0.5
7,288.9033043384552,0.13462387790088676,0.1498971833001583,0.6947040557861328,0.5873587131500244,0.11410550773143768,0.06995412707328796,0.5
8,292.7745177745819,0.13065215081284431,0.16300113977642233,0.7172619104385376,0.5980455875396729,0.11410550773143768,0.07855504751205444,0.5
9,286.9814872741699,0.1225567207801082,0.12983329313884087,0.75,0.6685156226158142,0.11410550773143768,0.08543577790260315,0.5
10,289.716322183609,0.12024569674795996,0.14798625989244618,0.7300150990486145,0.5936908721923828,0.11410550773143768,0.07597476989030838,0.5
11,288.20120549201965,0.11305000417439179,0.15435425034903605,0.7427745461463928,0.6345223784446716,0.11410550773143768,0.08428899198770523,0.5
12,287.99774169921875,0.10757364060657032,0.13152396890821808,0.7525035738945007,0.6568163633346558,0.11410550773143768,0.08629587292671204,0.5
13,287.8784456253052,0.11056266170760658,0.14028882324148756,0.7445887327194214,0.6223406195640564,0.11410550773143768,0.08457569032907486,0.5
14,288.9782917499542,0.10792119508495834,0.12630769336989167,0.7758620977401733,0.7073205709457397,0.11410550773143768,0.08543577790260315,0.5
15,286.49613308906555,0.10421454690901474,0.19953419213448095,0.7278287410736084,0.6363592147827148,0.11410550773143768,0.07339449226856232,0.5
16,287.36438608169556,0.10369643786265574,0.1336106897220699,0.7811158895492554,0.6955685019493103,0.11410550773143768,0.08629587292671204,0.5
17,288.4380769729614,0.10104652479650232,0.16007023270523876,0.7421758770942688,0.6288050413131714,0.11410550773143768,0.07826834917068481,0.5
18,286.0337886810303,0.09731827039019249,0.14460734749605897,0.7698744535446167,0.6977508664131165,0.11410550773143768,0.09145642071962357,0.5
19,290.1403646469116,0.09589647261765877,0.12885738041149367,0.7829670310020447,0.7238344550132751,0.11410550773143768,0.09461009502410889,0.5
20,287.9932448863983,0.09441596319221054,0.12106752115378686,0.7932011485099792,0.715877890586853,0.11410550773143768,0.08830275386571884,0.5
21,291.65332651138306,0.09365797279793961,0.16075814686237125,0.782608687877655,0.6990864276885986,0.11410550773143768,0.09030963480472565,0.5
22,289.7215111255646,0.0909387621040596,0.22653875759708772,0.7489480972290039,0.6456676721572876,0.11410550773143768,0.09030963480472565,0.5
23,287.83995270729065,0.08825382730580361,0.15671504063343783,0.7641099691390991,0.6605105996131897,0.11410550773143768,0.0840022936463356,0.5
24,289.60701847076416,0.0917763647406301,0.11814387928728663,0.8154270052909851,0.7551034092903137,0.11410550773143768,0.09403669834136963,0.5
25,288.1863167285919,0.08750563386900417,0.11913154807386048,0.7862266898155212,0.694147527217865,0.11410550773143768,0.08572247624397278,0.5
26,290.06035566329956,0.08720255886919874,0.13285700327486072,0.768345296382904,0.6471660733222961,0.11410550773143768,0.08514907956123352,0.5
27,289.4346146583557,0.0848099173877461,0.1469930745319489,0.7711171507835388,0.680188775062561,0.11410550773143768,0.09633027762174606,0.5
28,286.46671080589294,0.0833217064186024,0.12967475613049412,0.7972028255462646,0.739977240562439,0.11410550773143768,0.09088302403688431,0.5
29,292.61920285224915,0.08661036408932968,0.11887753351565895,0.8135135173797607,0.7495880722999573,0.11410550773143768,0.09805046021938324,0.5
30,286.7225933074951,0.08296584718177431,0.11403788127210163,0.8133704662322998,0.7571819424629211,0.11410550773143768,0.0917431190609932,0.5
