epoch,split,loss,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,fr_avg,fr_max,threshold_mean,lr
1,train,0.5255552873010749,0.47334614396095276,0.4017544090747833,0.43462181091308594,0.33043012022972107,0.27912119030952454,0.29607459902763367,0.18072238564491272,23.44725576852412,96.71268340223963,0.42499998211860657,0.0003
2,train,0.4713813137076568,0.42484423518180847,0.6174706220626831,0.5033581256866455,0.35956043004989624,0.502595841884613,0.39574962854385376,0.16234347224235535,23.345684400923478,77.59270126672037,0.4714285731315613,0.0003
3,train,0.4620237804789131,0.458251029253006,0.6141185760498047,0.524857223033905,0.38315242528915405,0.4766955077648163,0.4013758599758148,0.18334895372390747,23.691219258132406,81.46860400735486,0.4821428954601288,0.0003
4,train,0.4669373847067544,0.4719148576259613,0.5876650214195251,0.5234675407409668,0.3765328526496887,0.46103745698928833,0.4048210084438324,0.198185533285141,23.702379383626546,84.58834611631671,0.47678568959236145,0.0003
5,train,0.47128684176653846,0.4638649523258209,0.5836508870124817,0.5169090032577515,0.36865663528442383,0.45859256386756897,0.3990970253944397,0.19303177297115326,23.673919984036587,84.62472872541818,0.44107142090797424,0.0003
6,train,0.4532089755465869,0.4603249728679657,0.5632309913635254,0.5066050291061401,0.3529199957847595,0.43097513914108276,0.38035401701927185,0.21251100301742554,23.76861238929103,87.68339294615555,0.4982142746448517,0.0003
7,train,0.4527249708261841,0.46091321110725403,0.5676926970481873,0.5087605714797974,0.35222581028938293,0.43436577916145325,0.3803353011608124,0.2173382192850113,23.969341671026815,89.49096784922023,0.4267857074737549,0.0003
8,train,0.43542892766282504,0.4902550280094147,0.5810826420783997,0.531818687915802,0.38207608461380005,0.44490477442741394,0.4013325870037079,0.23994803428649902,23.774242093954353,88.68878428617842,0.4892856776714325,0.00015
9,train,0.43129942565965984,0.47276124358177185,0.6075270175933838,0.5317381024360657,0.3782040774822235,0.4593285918235779,0.39933115243911743,0.21941818296909332,23.591399636883278,88.3421756469276,0.4624999463558197,0.00015
10,train,0.435804644921713,0.4689399003982544,0.6041396260261536,0.5280227065086365,0.3718021810054779,0.4558805525302887,0.39562204480171204,0.21891416609287262,23.52320592025679,88.8205639368563,0.4660714268684387,0.00015
11,train,0.43195287725752607,0.47131267189979553,0.6106159687042236,0.5319963693618774,0.37870869040489197,0.4605225920677185,0.39955854415893555,0.22384075820446014,23.492287516228384,89.0205856886457,0.45178571343421936,0.00015
12,train,0.42835774467253895,0.46209004521369934,0.6226321458816528,0.5304807424545288,0.37143999338150024,0.4975568354129791,0.41298550367355347,0.22079534828662872,23.431498881594017,88.93712363473263,0.4732142388820648,0.00015
13,train,0.4249400811651061,0.4827703535556793,0.5987992286682129,0.5345610976219177,0.3900131583213806,0.4812281131744385,0.41490912437438965,0.23576681315898895,23.34800590762085,89.15756524046465,0.473214328289032,0.00015
14,train,0.42533927196422855,0.4827735722064972,0.598506510257721,0.5344464182853699,0.38823649287223816,0.47831273078918457,0.41265860199928284,0.23492205142974854,23.342855369333922,89.47490604103864,0.48749998211860657,0.00015
