epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
1,train,0,kick,0.43478259444236755,0.5882353186607361,0.5,0.10000000149011612,10.0,13.0,7.0,9.0,17.0
1,train,1,xstick,0.0,0.0,0.0,0.10000000149011612,0.0,21.0,1.0,17.0,1.0
1,train,2,snare,0.3636363744735718,0.3636363744735718,0.3636363744735718,0.10000000149011612,4.0,7.0,7.0,21.0,11.0
1,train,3,hihat_pedal,0.1304347813129425,1.0,0.23076923191547394,0.22499999403953552,3.0,20.0,0.0,16.0,3.0
1,train,4,hihat_closed,0.2777777910232544,1.0,0.43478262424468994,0.8999999761581421,5.0,13.0,0.0,21.0,5.0
1,train,5,hihat_open,0.0,0.0,0.0,0.3499999940395355,0.0,19.0,1.0,19.0,1.0
1,train,6,tom,0.13333334028720856,1.0,0.2352941334247589,0.44999998807907104,4.0,26.0,0.0,9.0,4.0
1,train,7,floor_tom,0.1111111119389534,0.5,0.1818181872367859,0.10000000149011612,1.0,8.0,1.0,29.0,2.0
1,train,8,vibraslap,0.0,0.0,0.0,0.3499999940395355,0.0,3.0,1.0,35.0,1.0
1,train,9,crash,0.0,0.0,0.0,0.8999999761581421,0.0,28.0,0.0,11.0,0.0
1,train,10,ride_bow,0.0833333358168602,0.4000000059604645,0.13793103396892548,0.17499999701976776,2.0,22.0,3.0,12.0,5.0
1,train,11,ride_bell,0.0,0.0,0.0,0.10000000149011612,0.0,21.0,1.0,17.0,1.0
1,train,12,chinese_cymbal,0.0,0.0,0.0,0.8999999761581421,0.0,14.0,1.0,24.0,1.0
1,train,13,splash_cymbal,0.0,0.0,0.0,0.10000000149011612,0.0,14.0,1.0,24.0,1.0
2,train,0,kick,0.4444444477558136,0.9411764740943909,0.6037735939025879,0.10000000149011612,16.0,20.0,1.0,2.0,17.0
2,train,1,xstick,0.03030303120613098,1.0,0.05882353335618973,0.10000000149011612,1.0,32.0,0.0,6.0,1.0
2,train,2,snare,0.2702702581882477,0.9090909361839294,0.4166666269302368,0.10000000149011612,10.0,27.0,1.0,1.0,11.0
2,train,3,hihat_pedal,0.11999999731779099,1.0,0.2142857015132904,0.15000000596046448,3.0,22.0,0.0,14.0,3.0
2,train,4,hihat_closed,0.3333333432674408,0.6000000238418579,0.4285714328289032,0.875,3.0,6.0,2.0,28.0,5.0
2,train,5,hihat_open,0.0,0.0,0.0,0.25,0.0,19.0,1.0,19.0,1.0
2,train,6,tom,0.14814814925193787,1.0,0.25806450843811035,0.22499999403953552,4.0,23.0,0.0,12.0,4.0
2,train,7,floor_tom,0.07407407462596893,1.0,0.13793103396892548,0.10000000149011612,2.0,25.0,0.0,12.0,2.0
2,train,8,vibraslap,0.0,0.0,0.0,0.3499999940395355,0.0,8.0,1.0,30.0,1.0
2,train,9,crash,0.0,0.0,0.0,0.8999999761581421,0.0,8.0,0.0,31.0,0.0
2,train,10,ride_bow,0.1111111119389534,0.6000000238418579,0.1875,0.17499999701976776,3.0,24.0,2.0,10.0,5.0
2,train,11,ride_bell,0.02777777798473835,1.0,0.054054055362939835,0.125,1.0,35.0,0.0,3.0,1.0
2,train,12,chinese_cymbal,0.0,0.0,0.0,0.875,0.0,1.0,1.0,37.0,1.0
