epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
10,203.5521421432495,0.189916116602766,0.18559116618554128,0.705894947052002,0.6033570170402527,0.07140904664993286,0.07776428759098053,0.5535714030265808,0.0003,0.6770505309104919,0.7373064756393433,29667.0,14151.0,10570.0,509084.0,5798.0,1128.0,977.0,32345.0,671.0,304.0,378.0,38895.0,7110.0,1849.0,1690.0,29599.0,2036.0,2291.0,1835.0,34086.0,918.0,958.0,870.0,37502.0,953.0,664.0,712.0,37919.0,5202.0,1879.0,1042.0,32125.0,3267.0,1527.0,836.0,34618.0,316.0,545.0,567.0,38820.0,178.0,975.0,297.0,38798.0,1384.0,1148.0,566.0,37150.0,112.0,110.0,230.0,39796.0,555.0,176.0,224.0,39293.0,1167.0,597.0,346.0,38138.0
11,202.32307600975037,0.18696514390279728,0.17699565377832052,0.7138010859489441,0.6094954609870911,0.07140904664993286,0.07611203193664551,0.5392857789993286,0.0003,0.6917480826377869,0.7373064756393433,29667.0,13220.0,10570.0,510015.0,5737.0,997.0,1038.0,32476.0,626.0,198.0,423.0,39001.0,7124.0,1776.0,1676.0,29672.0,1930.0,1771.0,1941.0,34606.0,971.0,1228.0,817.0,37232.0,987.0,741.0,678.0,37842.0,5447.0,1839.0,797.0,32165.0,3128.0,1243.0,975.0,34902.0,392.0,637.0,491.0,38728.0,137.0,879.0,338.0,38894.0,1326.0,894.0,624.0,37404.0,142.0,210.0,200.0,39696.0,542.0,122.0,237.0,39347.0,1178.0,685.0,335.0,38050.0
12,204.65323495864868,0.18423263126301476,0.18090056076044592,0.7114425301551819,0.6078103184700012,0.07140904664993286,0.07590261846780777,0.550000011920929,0.0003,0.6903831958770752,0.7338270545005798,29527.0,13242.0,10710.0,509993.0,5648.0,1164.0,1127.0,32309.0,629.0,201.0,420.0,38998.0,7211.0,1906.0,1589.0,29542.0,1975.0,2116.0,1896.0,34261.0,1030.0,1348.0,758.0,37112.0,935.0,655.0,730.0,37928.0,5235.0,1577.0,1009.0,32427.0,3247.0,1333.0,856.0,34812.0,341.0,537.0,542.0,38828.0,111.0,606.0,364.0,39167.0,1342.0,948.0,608.0,37350.0,141.0,189.0,201.0,39717.0,563.0,165.0,216.0,39304.0,1119.0,497.0,394.0,38238.0
13,202.04096937179565,0.1792112484785457,0.1710077552026746,0.7199728488922119,0.6160971522331238,0.07140904664993286,0.07485731691122055,0.5321428775787354,0.0003,0.7033902406692505,0.7373561859130859,29669.0,12511.0,10568.0,510724.0,5697.0,986.0,1078.0,32487.0,693.0,273.0,356.0,38926.0,7208.0,1730.0,1592.0,29718.0,2045.0,2184.0,1826.0,34193.0,1004.0,1206.0,784.0,37254.0,977.0,590.0,688.0,37993.0,5222.0,1442.0,1022.0,32562.0,3166.0,1131.0,937.0,35014.0,424.0,842.0,459.0,38523.0,108.0,505.0,367.0,39268.0,1322.0,818.0,628.0,37480.0,118.0,117.0,224.0,39789.0,582.0,207.0,197.0,39262.0,1103.0,480.0,410.0,38255.0
14,203.45442724227905,0.17684662269675,0.1740294724341487,0.7227283716201782,0.6209226846694946,0.07140904664993286,0.07663735002279282,0.5535714030265808,0.0003,0.6980756521224976,0.749186098575592,30145.0,13038.0,10092.0,510197.0,5785.0,1118.0,990.0,32355.0,711.0,274.0,338.0,38925.0,7272.0,1822.0,1528.0,29626.0,2041.0,2007.0,1830.0,34370.0,1021.0,1188.0,767.0,37272.0,976.0,620.0,689.0,37963.0,5241.0,1460.0,1003.0,32544.0,3318.0,1295.0,785.0,34850.0,352.0,582.0,531.0,38783.0,129.0,712.0,346.0,39061.0,1383.0,1015.0,567.0,37283.0,155.0,216.0,187.0,39690.0,583.0,175.0,196.0,39294.0,1178.0,554.0,335.0,38181.0
15,202.94379019737244,0.17396473636716425,0.17837919131338986,0.7151243686676025,0.6165471076965332,0.07140904664993286,0.07520870864391327,0.5464285612106323,0.0003,0.6970598101615906,0.7341501712799072,29540.0,12838.0,10697.0,510397.0,5668.0,1054.0,1107.0,32419.0,635.0,127.0,414.0,39072.0,7094.0,1850.0,1706.0,29598.0,2019.0,2288.0,1852.0,34089.0,932.0,1001.0,856.0,37459.0,907.0,584.0,758.0,37999.0,5382.0,1690.0,862.0,32314.0,3213.0,1143.0,890.0,35002.0,393.0,810.0,490.0,38555.0,137.0,614.0,338.0,39159.0,1302.0,803.0,648.0,37495.0,158.0,245.0,184.0,39661.0,565.0,134.0,214.0,39335.0,1135.0,495.0,378.0,38240.0
16,204.0046944618225,0.17208850405253248,0.17281531097815017,0.7248415946960449,0.625910222530365,0.07140904664993286,0.0731305181980133,0.5821428894996643,0.0003,0.7163103222846985,0.7335785627365112,29517.0,11690.0,10720.0,511545.0,5709.0,1052.0,1066.0,32421.0,697.0,251.0,352.0,38948.0,7106.0,1633.0,1694.0,29815.0,1946.0,1842.0,1925.0,34535.0,974.0,1120.0,814.0,37340.0,1007.0,598.0,658.0,37985.0,5146.0,1211.0,1098.0,32793.0,3250.0,1155.0,853.0,34990.0,353.0,450.0,530.0,38915.0,143.0,673.0,332.0,39100.0,1289.0,809.0,661.0,37489.0,151.0,198.0,191.0,39708.0,587.0,165.0,192.0,39304.0,1159.0,533.0,354.0,38202.0
17,202.6080961227417,0.1697840398470994,0.16999871917461407,0.7252481579780579,0.6285145878791809,0.07140904664993286,0.07681304216384888,0.5321428179740906,0.0003,0.6997365951538086,0.752690315246582,30286.0,12996.0,9951.0,510239.0,5671.0,1027.0,1104.0,32446.0,693.0,190.0,356.0,39009.0,7336.0,1749.0,1464.0,29699.0,2016.0,2154.0,1855.0,34223.0,1026.0,1203.0,762.0,37257.0,937.0,494.0,728.0,38089.0,5269.0,1411.0,975.0,32593.0,3444.0,1460.0,659.0,34685.0,413.0,641.0,470.0,38724.0,151.0,831.0,324.0,38942.0,1362.0,850.0,588.0,37448.0,142.0,158.0,200.0,39748.0,622.0,221.0,157.0,39248.0,1204.0,607.0,309.0,38128.0
18,204.00675344467163,0.16619120564510717,0.16835000115250337,0.7287713289260864,0.6324261426925659,0.07140904664993286,0.07522467523813248,0.5464285612106323,0.0003,0.7102885246276855,0.748241662979126,30107.0,12280.0,10130.0,510955.0,5758.0,993.0,1017.0,32480.0,683.0,186.0,366.0,39013.0,7252.0,1773.0,1548.0,29675.0,2128.0,2325.0,1743.0,34052.0,1000.0,1023.0,788.0,37437.0,930.0,434.0,735.0,38149.0,5148.0,1217.0,1096.0,32787.0,3382.0,1391.0,721.0,34754.0,357.0,407.0,526.0,38958.0,140.0,723.0,335.0,39050.0,1371.0,903.0,579.0,37395.0,140.0,129.0,202.0,39777.0,586.0,174.0,193.0,39295.0,1232.0,602.0,281.0,38133.0
19,204.35300374031067,0.16422940115727988,0.1758316947549694,0.7238235473632812,0.6259493827819824,0.07140904664993286,0.07574644684791565,0.5571428537368774,0.0003,0.7030997276306152,0.745806097984314,30009.0,12672.0,10228.0,510563.0,5704.0,1013.0,1071.0,32460.0,707.0,235.0,342.0,38964.0,7209.0,1860.0,1591.0,29588.0,2036.0,2263.0,1835.0,34114.0,1001.0,1239.0,787.0,37221.0,962.0,599.0,703.0,37984.0,5386.0,1546.0,858.0,32458.0,3295.0,1118.0,808.0,35027.0,338.0,484.0,545.0,38881.0,138.0,692.0,337.0,39081.0,1332.0,753.0,618.0,37545.0,146.0,169.0,196.0,39737.0,570.0,101.0,209.0,39368.0,1185.0,600.0,328.0,38135.0
20,204.31462216377258,0.16250690075292476,0.17845280830700433,0.7224647402763367,0.6199387311935425,0.07140904664993286,0.07496201992034912,0.5857142806053162,0.0003,0.7053434252738953,0.740437924861908,29793.0,12446.0,10444.0,510789.0,5711.0,938.0,1064.0,32535.0,649.0,163.0,400.0,39036.0,7068.0,1630.0,1732.0,29818.0,2032.0,2222.0,1839.0,34155.0,995.0,1019.0,793.0,37441.0,950.0,568.0,715.0,38015.0,5412.0,1531.0,832.0,32473.0,3203.0,1241.0,900.0,34904.0,446.0,871.0,437.0,38494.0,94.0,428.0,381.0,39345.0,1320.0,922.0,630.0,37376.0,139.0,170.0,203.0,39736.0,581.0,192.0,198.0,39277.0,1193.0,551.0,320.0,38184.0
21,202.60161018371582,0.15992527079463062,0.1688733830162413,0.7337254881858826,0.6365262866020203,0.07140904664993286,0.07460708171129227,0.571428656578064,0.0003,0.7179999351501465,0.7501553297042847,30184.0,11855.0,10053.0,511380.0,5811.0,1082.0,964.0,32391.0,702.0,227.0,347.0,38972.0,7031.0,1348.0,1769.0,30100.0,2032.0,2112.0,1839.0,34265.0,997.0,1093.0,791.0,37367.0,981.0,561.0,684.0,38022.0,5379.0,1464.0,865.0,32540.0,3375.0,1213.0,728.0,34932.0,428.0,614.0,455.0,38751.0,114.0,522.0,361.0,39251.0,1446.0,868.0,504.0,37430.0,133.0,100.0,209.0,39806.0,563.0,109.0,216.0,39360.0,1192.0,542.0,321.0,38193.0
22,203.74150705337524,0.15801181401560768,0.16629231043339154,0.7301552891731262,0.6339010000228882,0.07140904664993286,0.07657523453235626,0.5607143044471741,0.0003,0.7055251598358154,0.7565673589706421,30442.0,12706.0,9795.0,510529.0,5687.0,839.0,1088.0,32634.0,710.0,201.0,339.0,38998.0,7222.0,1452.0,1578.0,29996.0,2257.0,2653.0,1614.0,33724.0,989.0,1051.0,799.0,37409.0,1029.0,626.0,636.0,37957.0,5258.0,1198.0,986.0,32806.0,3363.0,1253.0,740.0,34892.0,489.0,1000.0,394.0,38365.0,116.0,695.0,359.0,39078.0,1365.0,878.0,585.0,37420.0,156.0,194.0,186.0,39712.0,571.0,124.0,208.0,39345.0,1230.0,542.0,283.0,38193.0
