epoch,epoch_time_sec,train_loss,train_micro_f1,train_macro_f1,val_loss,val_micro_f1,val_macro_f1,test_loss,test_micro_f1,test_macro_f1,threshold_mean,lr,val_f1_kick,test_f1_kick,threshold_kick,val_f1_xstick,test_f1_xstick,threshold_xstick,val_f1_snare,test_f1_snare,threshold_snare,val_f1_hihat_pedal,test_f1_hihat_pedal,threshold_hihat_pedal,val_f1_hihat_closed,test_f1_hihat_closed,threshold_hihat_closed,val_f1_hihat_open,test_f1_hihat_open,threshold_hihat_open,val_f1_tom,test_f1_tom,threshold_tom,val_f1_floor_tom,test_f1_floor_tom,threshold_floor_tom,val_f1_vibraslap,test_f1_vibraslap,threshold_vibraslap,val_f1_crash,test_f1_crash,threshold_crash,val_f1_ride_bow,test_f1_ride_bow,threshold_ride_bow,val_f1_ride_bell,test_f1_ride_bell,threshold_ride_bell,val_f1_chinese_cymbal,test_f1_chinese_cymbal,threshold_chinese_cymbal,val_f1_splash_cymbal,test_f1_splash_cymbal,threshold_splash_cymbal
1,65.49649262428284,0.629783696787698,0.095238097012043,0.08522975444793701,0.6894711778145428,0.13300375640392303,0.1268649846315384,0.690290365029337,0.1343984752893448,0.1273737996816635,0.07857142388820648,0.0003,0.2880840599536896,0.33368122577667236,0.05000000074505806,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.08625362813472748,0.22929002344608307,0.05000000074505806,0.0798167958855629,0.09799514710903168,0.05000000074505806,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.1833036094903946,0.1485954374074936,0.05000000074505806,0.044837385416030884,0.023311764001846313,0.05000000074505806,0.02332833968102932,0.014033934101462364,0.05000000074505806,0.09318962693214417,0.06277041137218475,0.05000000074505806,0.01709570176899433,0.020259680226445198,0.05000000074505806,0.04084613546729088,0.03820917755365372,0.44999998807907104,0.07310592383146286,0.05435232073068619,0.05000000074505806
2,63.248255252838135,0.5009384827954428,0.0731707289814949,0.06640442460775375,0.6597279289019461,0.12800346314907074,0.1323447823524475,0.6555455807680263,0.12942878901958466,0.13265354931354523,0.10000000149011612,0.0003,0.35928523540496826,0.4019562005996704,0.44999998807907104,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.08625362813472748,0.22929002344608307,0.05000000074505806,0.0798167958855629,0.09799514710903168,0.05000000074505806,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.1888255625963211,0.15424127876758575,0.3499999940395355,0.044837385416030884,0.023311764001846313,0.05000000074505806,0.02332833968102932,0.014033934101462364,0.05000000074505806,0.09318962693214417,0.06277041137218475,0.05000000074505806,0.01709570176899433,0.020259680226445198,0.05000000074505806,0.04084016755223274,0.038204748183488846,0.05000000074505806,0.07310592383146286,0.05435232073068619,0.05000000074505806
3,61.90021562576294,0.4412745586463383,0.13414634764194489,0.10402341932058334,0.5951354879078062,0.13341286778450012,0.12903079390525818,0.5887247757867505,0.1367965042591095,0.13242574036121368,0.11785713583230972,0.0003,0.2880840599536896,0.33368122577667236,0.05000000074505806,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.10517177730798721,0.2659763991832733,0.44999998807907104,0.0798167958855629,0.09799514710903168,0.05000000074505806,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.18646308779716492,0.17757846415042877,0.29999998211860657,0.044837385416030884,0.023311764001846313,0.05000000074505806,0.02332833968102932,0.014033934101462364,0.05000000074505806,0.09318962693214417,0.06277041137218475,0.05000000074505806,0.01709570176899433,0.020259680226445198,0.05000000074505806,0.04908980429172516,0.04326684772968292,0.3499999940395355,0.07310592383146286,0.05435232073068619,0.05000000074505806
4,61.387234687805176,0.39149961727006094,0.265193372964859,0.23934423923492432,0.5534748769830079,0.14312173426151276,0.1490265429019928,0.5374792134588259,0.1453312486410141,0.14783871173858643,0.10357141494750977,0.0003,0.2911452353000641,0.33643707633018494,0.3999999761581421,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.08625362813472748,0.22929002344608307,0.05000000074505806,0.0798167958855629,0.09799514710903168,0.05000000074505806,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.3334476053714752,0.3146989047527313,0.19999998807907104,0.044837385416030884,0.023311764001846313,0.05000000074505806,0.02332833968102932,0.014033934101462364,0.05000000074505806,0.09318962693214417,0.06277041137218475,0.05000000074505806,0.01709570176899433,0.020259680226445198,0.05000000074505806,0.19790276885032654,0.15585851669311523,0.29999998211860657,0.07310592383146286,0.05435232073068619,0.05000000074505806
5,60.499032974243164,0.3472852860178266,0.36966824531555176,0.3373785614967346,0.5634560764037314,0.1439049392938614,0.13350240886211395,0.537156552217209,0.1444624960422516,0.13271763920783997,0.18571427464485168,0.0003,0.33251121640205383,0.36476606130599976,0.3499999940395355,0.05521843209862709,0.07363864034414291,0.14999999105930328,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.09373323619365692,0.24518805742263794,0.6000000238418579,0.08135312050580978,0.09914491325616837,0.3999999761581421,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.1833036094903946,0.1485954374074936,0.05000000074505806,0.044921401888132095,0.02334284596145153,0.09999999403953552,0.04225501790642738,0.03350766748189926,0.3499999940395355,0.1134367361664772,0.0697445347905159,0.19999998807907104,0.01709570176899433,0.020259680226445198,0.05000000074505806,0.04084016755223274,0.038204748183488846,0.05000000074505806,0.07329893112182617,0.054495155811309814,0.14999999105930328
6,60.86378526687622,0.29733766913414,0.52173912525177,0.4874599277973175,0.5714859942322672,0.15735946595668793,0.13876275718212128,0.5400446374106664,0.15713118016719818,0.13335855305194855,0.1499999761581421,0.0003,0.2880840599536896,0.33368122577667236,0.05000000074505806,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.3581700026988983,0.3740849792957306,0.14999999105930328,0.18319842219352722,0.15901866555213928,0.3499999940395355,0.08625362813472748,0.22929002344608307,0.05000000074505806,0.09319331496953964,0.10920142382383347,0.19999998807907104,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.20724351704120636,0.16865921020507812,0.09999999403953552,0.044837385416030884,0.023311764001846313,0.05000000074505806,0.023735757917165756,0.014244538731873035,0.44999998807907104,0.13562801480293274,0.07991673797369003,0.14999999105930328,0.02461538277566433,0.01673639751970768,0.05000000074505806,0.07777892053127289,0.0621066614985466,0.2499999850988388,0.10592713207006454,0.07326199859380722,0.14999999105930328
7,60.62849688529968,0.2718786673886435,0.5932203531265259,0.5648345351219177,0.58971421532829,0.13271115720272064,0.13464869558811188,0.5473293620993722,0.1319124549627304,0.1356792002916336,0.15714283287525177,0.0003,0.3205944895744324,0.3897719383239746,0.3999999761581421,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.3867930471897125,0.4171072840690613,0.14999999105930328,0.18377770483493805,0.1632075160741806,0.29999998211860657,0.08625362813472748,0.22929002344608307,0.05000000074505806,0.07986251264810562,0.09802819788455963,0.19999998807907104,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.182843416929245,0.14807018637657166,0.05000000074505806,0.04584324359893799,0.02361406199634075,0.05000000074505806,0.02366480603814125,0.01420967560261488,0.44999998807907104,0.09401915222406387,0.06301402300596237,0.14999999105930328,0.0,0.0,0.05000000074505806,0.09431067854166031,0.07533759623765945,0.19999998807907104,0.07310592383146286,0.05435232073068619,0.05000000074505806
8,60.589863538742065,0.25009014649050576,0.6525423526763916,0.6357267498970032,0.5708898638570031,0.17939047515392303,0.1400029957294464,0.5284946201980891,0.17985253036022186,0.12969370186328888,0.16785714030265808,0.00015,0.342274934053421,0.3745056688785553,0.3499999940395355,0.06011947989463806,0.06809169799089432,0.09999999403953552,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.08633127808570862,0.2293921858072281,0.6000000238418579,0.10037819296121597,0.11980033665895462,0.2499999850988388,0.25883063673973083,0.1499311327934265,0.05000000074505806,0.18334124982357025,0.1485729217529297,0.05000000074505806,0.0,0.0,0.05000000074505806,0.03430376946926117,0.02246415801346302,0.3499999940395355,0.21052631735801697,0.05115961283445358,0.14999999105930328,0.0,0.0,0.05000000074505806,0.05206333100795746,0.04515582323074341,0.14999999105930328,0.09963729977607727,0.06941024214029312,0.09999999403953552
9,60.32682514190674,0.20084810001509532,0.7642276287078857,0.7433869242668152,0.5825998378283365,0.1681857705116272,0.13348540663719177,0.5354509617401491,0.16189827024936676,0.13116641342639923,0.12857142090797424,0.00015,0.2880840599536896,0.33368122577667236,0.05000000074505806,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.17407280206680298,0.16314303874969482,0.05000000074505806,0.09495673328638077,0.13553644716739655,0.6499999761581421,0.08274828642606735,0.10054304450750351,0.19999998807907104,0.3772871196269989,0.2739163041114807,0.05000000074505806,0.18320196866989136,0.1485794484615326,0.05000000074505806,0.0,0.0,0.05000000074505806,0.04796379432082176,0.07794295251369476,0.3999999761581421,0.09318962693214417,0.06277041137218475,0.05000000074505806,0.0,0.0,0.05000000074505806,0.04084016755223274,0.038204748183488846,0.05000000074505806,0.07310592383146286,0.05435232073068619,0.05000000074505806
10,60.528889656066895,0.19109111811433518,0.7782101035118103,0.768829882144928,0.5989504062828499,0.15691600739955902,0.11597400903701782,0.5463206625419745,0.17182184755802155,0.12309025228023529,0.13928569853305817,0.00015,0.2880840599536896,0.33368122577667236,0.05000000074505806,0.05518241226673126,0.07357493788003922,0.05000000074505806,0.35816267132759094,0.3740849792957306,0.05000000074505806,0.18466781079769135,0.16089749336242676,0.2499999850988388,0.10785981267690659,0.2714449167251587,0.6499999761581421,0.0798167958855629,0.09799514710903168,0.05000000074505806,0.0,0.0,0.05000000074505806,0.18286621570587158,0.1479853242635727,0.05000000074505806,0.0,0.0,0.05000000074505806,0.04335625097155571,0.030373698100447655,0.3999999761581421,0.09318962693214417,0.06277041137218475,0.05000000074505806,0.0,0.0,0.05000000074505806,0.1573444902896881,0.11610297858715057,0.14999999105930328,0.07310592383146286,0.05435232073068619,0.05000000074505806
