epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
31,4257.8113470077515,0.10339512329525431,0.1675005922037008,0.6612963080406189,0.5278008580207825,0.04382031783461571,0.04647517576813698,0.5892857909202576,7.5e-05,0.6424083113670349,0.6813286542892456,154169.0,85817.0,72108.0,4851652.0,36971.0,9943.0,11642.0,310283.0,2864.0,1223.0,2530.0,362222.0,48952.0,10570.0,15535.0,293782.0,27459.0,25616.0,10228.0,305536.0,3877.0,2870.0,5203.0,356889.0,9683.0,19903.0,10940.0,328313.0,7806.0,2109.0,2794.0,356130.0,6956.0,4726.0,4274.0,352883.0,115.0,268.0,431.0,368025.0,136.0,920.0,681.0,367102.0,6658.0,4249.0,5167.0,352765.0,825.0,1040.0,1153.0,365821.0,706.0,1330.0,799.0,366004.0,1161.0,1050.0,731.0,365897.0
32,3884.991381406784,0.10189972720621568,0.16537836382794083,0.66781085729599,0.5314422845840454,0.04382031783461571,0.044755686074495316,0.6214285492897034,7.5e-05,0.660832405090332,0.6749382615089417,152723.0,78384.0,73554.0,4859085.0,36897.0,9926.0,11716.0,310300.0,2859.0,1197.0,2535.0,362248.0,49556.0,11586.0,14931.0,292766.0,26281.0,22108.0,11406.0,309044.0,3941.0,2946.0,5139.0,356813.0,8816.0,15021.0,11807.0,333195.0,7682.0,1756.0,2918.0,356483.0,7494.0,5794.0,3736.0,351815.0,135.0,381.0,411.0,367912.0,135.0,625.0,682.0,367397.0,6224.0,3825.0,5601.0,353189.0,825.0,985.0,1153.0,365876.0,587.0,932.0,918.0,366402.0,1291.0,1302.0,601.0,365645.0
33,4362.346001625061,0.1017806720015347,0.16452689073714566,0.6684711575508118,0.5305623412132263,0.04382031783461571,0.04518502578139305,0.610714316368103,7.5e-05,0.6583763360977173,0.6788803339004517,153615.0,79709.0,72662.0,4857760.0,36786.0,9713.0,11827.0,310513.0,2758.0,1011.0,2636.0,362434.0,49562.0,11174.0,14925.0,293178.0,26805.0,23539.0,10882.0,307613.0,3738.0,2221.0,5342.0,357538.0,9050.0,14788.0,11573.0,333428.0,7936.0,2319.0,2664.0,355920.0,7266.0,5610.0,3964.0,351999.0,131.0,310.0,415.0,367983.0,151.0,942.0,666.0,367080.0,6785.0,4706.0,5040.0,352308.0,770.0,826.0,1208.0,366035.0,705.0,1416.0,800.0,365918.0,1172.0,1134.0,720.0,365813.0
34,4032.352936029434,0.10192788584170995,0.175737232246211,0.6618481278419495,0.5292375683784485,0.04382031783461571,0.04580356925725937,0.5785714387893677,7.5e-05,0.6475194096565247,0.6768252849578857,153150.0,83368.0,73127.0,4854101.0,35990.0,8800.0,12623.0,311426.0,2764.0,1016.0,2630.0,362429.0,50107.0,12185.0,14380.0,292167.0,26843.0,25394.0,10844.0,305758.0,3831.0,2801.0,5249.0,356958.0,8734.0,15939.0,11889.0,332277.0,7597.0,1736.0,3003.0,356503.0,7616.0,6224.0,3614.0,351385.0,168.0,461.0,378.0,367832.0,156.0,1167.0,661.0,366855.0,6607.0,4067.0,5218.0,352947.0,894.0,1265.0,1084.0,365596.0,642.0,1176.0,863.0,366158.0,1201.0,1137.0,691.0,365810.0
35,3031.908898830414,0.10172484870465329,0.16675261941019437,0.6673876047134399,0.5340796709060669,0.04382031783461571,0.04535912349820137,0.5999999642372131,7.5e-05,0.6560670733451843,0.6791056990623474,153666.0,80557.0,72611.0,4856912.0,37291.0,10546.0,11322.0,309680.0,2826.0,1196.0,2568.0,362249.0,49558.0,10867.0,14929.0,293485.0,25893.0,21975.0,11794.0,309177.0,3818.0,2393.0,5262.0,357366.0,9182.0,16656.0,11441.0,331560.0,8001.0,2221.0,2599.0,356018.0,7577.0,5839.0,3653.0,351770.0,150.0,408.0,396.0,367885.0,170.0,788.0,647.0,367234.0,6581.0,4468.0,5244.0,352546.0,794.0,869.0,1184.0,365992.0,659.0,1336.0,846.0,365998.0,1166.0,995.0,726.0,365952.0
36,2989.164525270462,0.10129672916117942,0.16444525940665317,0.669567346572876,0.5325271487236023,0.04382031783461571,0.04604234918951988,0.5999999642372131,7.5e-05,0.6534104943275452,0.6865434646606445,155349.0,82402.0,70928.0,4855067.0,37227.0,10355.0,11386.0,309871.0,2863.0,1124.0,2531.0,362321.0,50300.0,12601.0,14187.0,291751.0,26706.0,22723.0,10981.0,308429.0,4000.0,2837.0,5080.0,356922.0,9020.0,15700.0,11603.0,332516.0,7885.0,2092.0,2715.0,356147.0,7728.0,6098.0,3502.0,351511.0,137.0,389.0,409.0,367904.0,145.0,951.0,672.0,367071.0,6751.0,4441.0,5074.0,352573.0,791.0,873.0,1187.0,365988.0,674.0,1236.0,831.0,366098.0,1122.0,982.0,770.0,365965.0
37,2813.1736142635345,0.10075942554534163,0.16627208516061293,0.6674028038978577,0.5339673757553101,0.04382031783461571,0.04562346637248993,0.6035714149475098,7.5e-05,0.6542141437530518,0.6811341643333435,154125.0,81463.0,72152.0,4856006.0,36924.0,9687.0,11689.0,310539.0,2792.0,1035.0,2602.0,362410.0,49614.0,10952.0,14873.0,293400.0,25992.0,21632.0,11695.0,309520.0,3897.0,2464.0,5183.0,357295.0,9505.0,18431.0,11118.0,329785.0,7742.0,1747.0,2858.0,356492.0,7578.0,6141.0,3652.0,351468.0,141.0,407.0,405.0,367886.0,150.0,955.0,667.0,367067.0,7122.0,4796.0,4703.0,352218.0,795.0,872.0,1183.0,365989.0,681.0,1256.0,824.0,366078.0,1192.0,1088.0,700.0,365859.0
38,2762.3530344963074,0.10077306901396149,0.16592182383184495,0.6723579168319702,0.5363002419471741,0.04382031783461571,0.044673383235931396,0.6142856478691101,7.5e-05,0.6659383773803711,0.6789023876190186,153620.0,77062.0,72657.0,4860407.0,36837.0,9530.0,11776.0,310696.0,2734.0,923.0,2660.0,362522.0,49506.0,10363.0,14981.0,293989.0,27304.0,23902.0,10383.0,307250.0,4158.0,3428.0,4922.0,356331.0,8622.0,13170.0,12001.0,335046.0,7606.0,1631.0,2994.0,356608.0,7022.0,5095.0,4208.0,352514.0,160.0,529.0,386.0,367764.0,154.0,678.0,663.0,367344.0,6884.0,4670.0,4941.0,352344.0,875.0,1073.0,1103.0,365788.0,682.0,1200.0,823.0,366134.0,1076.0,870.0,816.0,366077.0
39,2591.867139816284,0.10008601075409658,0.16804025468980793,0.66748046875,0.5323284864425659,0.04382031783461571,0.04518134519457817,0.5999999046325684,7.5e-05,0.6574269533157349,0.6778461933135986,153381.0,79924.0,72896.0,4857545.0,36475.0,9000.0,12138.0,311226.0,2789.0,1067.0,2605.0,362378.0,49564.0,10935.0,14923.0,293417.0,26583.0,24252.0,11104.0,306900.0,3750.0,2270.0,5330.0,357489.0,8918.0,14803.0,11705.0,333413.0,7829.0,2084.0,2771.0,356155.0,7518.0,5837.0,3712.0,351772.0,171.0,522.0,375.0,367771.0,134.0,751.0,683.0,367271.0,6825.0,4629.0,5000.0,352385.0,865.0,1143.0,1113.0,365718.0,650.0,1162.0,855.0,366172.0,1310.0,1469.0,582.0,365478.0
40,2564.6492948532104,0.10115373112991397,0.16388432031362074,0.6695297956466675,0.5371853709220886,0.04382031783461571,0.04528146982192993,0.603571355342865,7.5e-05,0.6587275862693787,0.6806922554969788,154025.0,79797.0,72252.0,4857672.0,36994.0,9635.0,11619.0,310591.0,2827.0,1155.0,2567.0,362290.0,49143.0,10391.0,15344.0,293961.0,27020.0,22865.0,10667.0,308287.0,3931.0,2895.0,5149.0,356864.0,9136.0,15980.0,11487.0,332236.0,7911.0,2311.0,2689.0,355928.0,7212.0,5386.0,4018.0,352223.0,175.0,557.0,371.0,367736.0,162.0,691.0,655.0,367331.0,6720.0,4481.0,5105.0,352533.0,862.0,1004.0,1116.0,365857.0,681.0,1180.0,824.0,366154.0,1251.0,1266.0,641.0,365681.0
41,2633.5533530712128,0.09922598060591242,0.16282335728408684,0.6710327863693237,0.5382588505744934,0.04382031783461571,0.045569632202386856,0.6214285492897034,7.5e-05,0.6581530570983887,0.6844266057014465,154870.0,80440.0,71407.0,4857029.0,36592.0,9062.0,12021.0,311164.0,2741.0,946.0,2653.0,362499.0,49526.0,11017.0,14961.0,293335.0,27216.0,23347.0,10471.0,307805.0,3951.0,2862.0,5129.0,356897.0,9225.0,14888.0,11398.0,333328.0,7849.0,2011.0,2751.0,356228.0,7315.0,5927.0,3915.0,351682.0,170.0,478.0,376.0,367815.0,179.0,1003.0,638.0,367019.0,7428.0,5771.0,4397.0,351243.0,745.0,695.0,1233.0,366166.0,707.0,1243.0,798.0,366091.0,1226.0,1190.0,666.0,365757.0
42,2790.011558532715,0.09886936468179365,0.16475039438548097,0.6707033514976501,0.5377082824707031,0.04382031783461571,0.04451632499694824,0.625,7.5e-05,0.6654601693153381,0.6760298013687134,152970.0,76901.0,73307.0,4860568.0,36369.0,8980.0,12244.0,311246.0,2832.0,1306.0,2562.0,362139.0,50294.0,12402.0,14193.0,291950.0,26004.0,22130.0,11683.0,309022.0,3873.0,2754.0,5207.0,357005.0,8318.0,12629.0,12305.0,335587.0,8020.0,2436.0,2580.0,355803.0,7082.0,5035.0,4148.0,352574.0,184.0,616.0,362.0,367677.0,157.0,618.0,660.0,367404.0,7261.0,5240.0,4564.0,351774.0,785.0,831.0,1193.0,366030.0,696.0,1104.0,809.0,366230.0,1095.0,820.0,797.0,366127.0
43,2753.5093953609467,0.09827858591098668,0.16209851403711822,0.6734734773635864,0.5384241342544556,0.04382031783461571,0.04519219323992729,0.5999999642372131,7.5e-05,0.6632513403892517,0.6840156316757202,154777.0,78584.0,71500.0,4858885.0,37041.0,9710.0,11572.0,310516.0,2738.0,922.0,2656.0,362523.0,49746.0,11042.0,14741.0,293310.0,26671.0,22230.0,11016.0,308922.0,4120.0,3176.0,4960.0,356583.0,8864.0,13305.0,11759.0,334911.0,7932.0,2299.0,2668.0,355940.0,7411.0,6075.0,3819.0,351534.0,141.0,322.0,405.0,367971.0,176.0,1021.0,641.0,367001.0,7212.0,5204.0,4613.0,351810.0,817.0,959.0,1161.0,365902.0,685.0,1247.0,820.0,366087.0,1223.0,1072.0,669.0,365875.0
44,2724.4187636375427,0.09867942122537371,0.1667815282246143,0.6682450771331787,0.5341041684150696,0.04382031783461571,0.04517340660095215,0.6107142567634583,3.75e-05,0.6582370400428772,0.6785621047019958,153543.0,79721.0,72734.0,4857748.0,36622.0,9457.0,11991.0,310769.0,2899.0,1231.0,2495.0,362214.0,49533.0,11074.0,14954.0,293278.0,26381.0,22662.0,11306.0,308490.0,3874.0,2445.0,5206.0,357314.0,9049.0,16078.0,11574.0,332138.0,7964.0,2241.0,2636.0,355998.0,7437.0,5591.0,3793.0,352018.0,116.0,282.0,430.0,368011.0,185.0,970.0,632.0,367052.0,6731.0,4008.0,5094.0,353006.0,953.0,1530.0,1025.0,365331.0,647.0,1082.0,858.0,366252.0,1152.0,1070.0,740.0,365877.0
45,2767.523588180542,0.09752824890560073,0.16243281179202468,0.6743422746658325,0.5397108793258667,0.04382031783461571,0.044889118522405624,0.6214285492897034,3.75e-05,0.6663143634796143,0.6825660467147827,154449.0,77347.0,71828.0,4860122.0,37198.0,9868.0,11415.0,310358.0,2891.0,1242.0,2503.0,362203.0,49585.0,10633.0,14902.0,293719.0,26626.0,22370.0,11061.0,308782.0,3920.0,2415.0,5160.0,357344.0,8766.0,14050.0,11857.0,334166.0,7820.0,1979.0,2780.0,356260.0,7438.0,5498.0,3792.0,352111.0,124.0,304.0,422.0,367989.0,171.0,848.0,646.0,367174.0,7217.0,5067.0,4608.0,351947.0,811.0,916.0,1167.0,365945.0,663.0,1051.0,842.0,366283.0,1219.0,1106.0,673.0,365841.0
46,2683.8014419078827,0.09643286246827856,0.1637737907946823,0.6709305047988892,0.5382012128829956,0.04382031783461571,0.04592731595039368,0.5999999642372131,3.75e-05,0.655540406703949,0.687060534954071,155466.0,81691.0,70811.0,4855778.0,37030.0,9536.0,11583.0,310690.0,2842.0,1123.0,2552.0,362322.0,49241.0,10433.0,15246.0,293919.0,26816.0,22648.0,10871.0,308504.0,4115.0,3006.0,4965.0,356753.0,9740.0,17075.0,10883.0,331141.0,8063.0,2382.0,2537.0,355857.0,7451.0,5985.0,3779.0,351624.0,140.0,326.0,406.0,367967.0,168.0,918.0,649.0,367104.0,7186.0,4988.0,4639.0,352026.0,835.0,952.0,1143.0,365909.0,667.0,1207.0,838.0,366127.0,1172.0,1112.0,720.0,365835.0
47,2669.738992214203,0.09717694050000508,0.16100353553097602,0.6748484373092651,0.5420331954956055,0.04382031783461571,0.04550843685865402,0.6142856478691101,3.75e-05,0.6623318195343018,0.6878471970558167,155644.0,79350.0,70633.0,4858119.0,37518.0,10184.0,11095.0,310042.0,2838.0,1132.0,2556.0,362313.0,50020.0,11519.0,14467.0,292833.0,26985.0,22934.0,10702.0,308218.0,3909.0,2497.0,5171.0,357262.0,8922.0,14206.0,11701.0,334010.0,7890.0,2178.0,2710.0,356061.0,7400.0,5418.0,3830.0,352191.0,173.0,568.0,373.0,367725.0,170.0,836.0,647.0,367186.0,6998.0,4468.0,4827.0,352546.0,849.0,946.0,1129.0,365915.0,764.0,1345.0,741.0,365989.0,1208.0,1119.0,684.0,365828.0
48,2532.114769220352,0.09582059693599417,0.16166738148918533,0.6732518672943115,0.5419545769691467,0.04382031783461571,0.045383717864751816,0.6178570985794067,3.75e-05,0.6616556644439697,0.6852618455886841,155059.0,79291.0,71218.0,4858178.0,37021.0,9925.0,11592.0,310301.0,2725.0,878.0,2669.0,362567.0,50326.0,11739.0,14161.0,292613.0,26579.0,22221.0,11108.0,308931.0,3748.0,2077.0,5332.0,357682.0,9481.0,16737.0,11142.0,331479.0,7950.0,2118.0,2650.0,356121.0,7250.0,4946.0,3980.0,352663.0,141.0,365.0,405.0,367928.0,168.0,726.0,649.0,367296.0,6882.0,4168.0,4943.0,352846.0,892.0,1055.0,1086.0,365806.0,716.0,1249.0,789.0,366085.0,1180.0,1087.0,712.0,365860.0
49,2536.479065656662,0.09505859414072125,0.16258841973419252,0.6756481528282166,0.541140079498291,0.04382031783461571,0.04504326730966568,0.5999999642372131,3.75e-05,0.6664760708808899,0.6850762367248535,155017.0,77575.0,71260.0,4859894.0,36755.0,9307.0,11858.0,310919.0,2819.0,1145.0,2575.0,362300.0,49637.0,10592.0,14850.0,293760.0,27254.0,23148.0,10433.0,308004.0,3944.0,2243.0,5136.0,357516.0,8637.0,13105.0,11986.0,335111.0,8114.0,2427.0,2486.0,355812.0,7593.0,6057.0,3637.0,351552.0,126.0,272.0,420.0,368021.0,162.0,1094.0,655.0,366928.0,7027.0,4537.0,4798.0,352477.0,895.0,1058.0,1083.0,365803.0,733.0,1196.0,772.0,366138.0,1321.0,1394.0,571.0,365553.0
50,2534.304765701294,0.09489814921036,0.16323064025844322,0.6751576066017151,0.5390666127204895,0.04382031783461571,0.045783042907714844,0.6071428060531616,1.875e-05,0.6606855988502502,0.6902778744697571,156194.0,80218.0,70083.0,4857251.0,37165.0,9989.0,11448.0,310237.0,2854.0,1184.0,2540.0,362261.0,49805.0,10761.0,14682.0,293591.0,27979.0,24355.0,9708.0,306797.0,4026.0,2582.0,5054.0,357177.0,9113.0,14977.0,11510.0,333239.0,7853.0,2005.0,2747.0,356234.0,7404.0,5262.0,3826.0,352347.0,125.0,335.0,421.0,367958.0,159.0,878.0,658.0,367144.0,6967.0,4635.0,4858.0,352379.0,851.0,971.0,1127.0,365890.0,661.0,1028.0,844.0,366306.0,1232.0,1256.0,660.0,365691.0
