epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold,lr,micro_precision,micro_recall,tp,fp,fn,tn,tp_kick,fp_kick,fn_kick,tn_kick,tp_xstick,fp_xstick,fn_xstick,tn_xstick,tp_snare,fp_snare,fn_snare,tn_snare,tp_hihat_closed,fp_hihat_closed,fn_hihat_closed,tn_hihat_closed,tp_hihat_open,fp_hihat_open,fn_hihat_open,tn_hihat_open,tp_hihat_pedal,fp_hihat_pedal,fn_hihat_pedal,tn_hihat_pedal,tp_tom,fp_tom,fn_tom,tn_tom,tp_floor_tom,fp_floor_tom,fn_floor_tom,tn_floor_tom,tp_vibraslap,fp_vibraslap,fn_vibraslap,tn_vibraslap,tp_crash,fp_crash,fn_crash,tn_crash,tp_ride_bow,fp_ride_bow,fn_ride_bow,tn_ride_bow,tp_ride_bell,fp_ride_bell,fn_ride_bell,tn_ride_bell,tp_chinese_cymbal,fp_chinese_cymbal,fn_chinese_cymbal,tn_chinese_cymbal,tp_splash_cymbal,fp_splash_cymbal,fn_splash_cymbal,tn_splash_cymbal
11,2476.219639778137,0.13739929357348687,0.1833614696276148,0.6222823262214661,0.4781251847743988,0.04382031783461571,0.04651835933327675,0.6035714149475098,0.0003,0.6042363047599792,0.6414394974708557,145143.0,95066.0,81134.0,4842403.0,35115.0,10057.0,13498.0,310169.0,2743.0,1315.0,2651.0,362130.0,47419.0,12366.0,17068.0,291986.0,25681.0,28818.0,12006.0,302334.0,3585.0,3253.0,5495.0,356506.0,7898.0,19551.0,12725.0,328665.0,7695.0,2681.0,2905.0,355558.0,6921.0,6526.0,4309.0,351083.0,141.0,667.0,405.0,367626.0,58.0,947.0,759.0,367075.0,5486.0,4803.0,6339.0,352211.0,742.0,1234.0,1236.0,365627.0,597.0,1573.0,908.0,365761.0,1062.0,1275.0,830.0,365672.0
12,2536.575033903122,0.12863817338821648,0.1837214052009259,0.6309882402420044,0.4896547496318817,0.04382031783461571,0.04708210006356239,0.5714285969734192,0.0003,0.6091312766075134,0.6544721722602844,148092.0,95028.0,78185.0,4842441.0,36581.0,11391.0,12032.0,308835.0,2578.0,1023.0,2816.0,362422.0,48655.0,14688.0,15832.0,289664.0,25410.0,26380.0,12277.0,304772.0,3428.0,3364.0,5652.0,356395.0,8479.0,20667.0,12144.0,327549.0,7677.0,2558.0,2923.0,355681.0,6708.0,5377.0,4522.0,352232.0,106.0,274.0,440.0,368019.0,101.0,1085.0,716.0,366937.0,6029.0,4890.0,5796.0,352124.0,693.0,883.0,1285.0,365978.0,543.0,1384.0,962.0,365950.0,1104.0,1064.0,788.0,365883.0
13,2480.9790897369385,0.12696082037650236,0.1762168782366764,0.6291179656982422,0.4949663281440735,0.04382031783461571,0.046095799654722214,0.6035714149475098,0.0003,0.6135900616645813,0.6454522609710693,146051.0,91976.0,80226.0,4845493.0,35954.0,10028.0,12659.0,310198.0,2758.0,1118.0,2636.0,362327.0,46949.0,11934.0,17538.0,292418.0,25302.0,27004.0,12385.0,304148.0,3743.0,3509.0,5337.0,356250.0,8660.0,21386.0,11963.0,326830.0,7580.0,2210.0,3020.0,356029.0,6960.0,5691.0,4270.0,351918.0,109.0,348.0,437.0,367945.0,104.0,720.0,713.0,367302.0,5321.0,3700.0,6504.0,353314.0,800.0,1185.0,1178.0,365676.0,736.0,1895.0,769.0,365439.0,1075.0,1248.0,817.0,365699.0
14,2532.6540019512177,0.12948736842029576,0.18708716961595773,0.6306960582733154,0.4878809154033661,0.04382031783461571,0.04751724749803543,0.5964285731315613,0.0003,0.60616135597229,0.657300591468811,148732.0,96635.0,77545.0,4840834.0,36778.0,11056.0,11835.0,309170.0,2631.0,950.0,2763.0,362495.0,49179.0,13311.0,15308.0,291041.0,24609.0,24618.0,13078.0,306534.0,3436.0,2904.0,5644.0,356855.0,9219.0,25760.0,11404.0,322456.0,7613.0,2456.0,2987.0,355783.0,6922.0,6229.0,4308.0,351380.0,84.0,232.0,462.0,368061.0,130.0,1453.0,687.0,366569.0,5886.0,4396.0,5939.0,352618.0,707.0,1206.0,1271.0,365655.0,535.0,1058.0,970.0,366276.0,1003.0,1006.0,889.0,365941.0
15,2555.323350906372,0.12332030835450093,0.17626781752196669,0.6375146508216858,0.4953159689903259,0.04382031783461571,0.046547021716833115,0.5892857313156128,0.0003,0.6188419461250305,0.657349169254303,148743.0,91614.0,77534.0,4845855.0,36454.0,10514.0,12159.0,309712.0,2600.0,874.0,2794.0,362571.0,48570.0,12485.0,15917.0,291867.0,25601.0,26645.0,12086.0,304507.0,3384.0,2413.0,5696.0,357346.0,8838.0,19505.0,11785.0,328711.0,7672.0,2429.0,2928.0,355810.0,6786.0,6172.0,4444.0,351437.0,146.0,601.0,400.0,367692.0,99.0,1080.0,718.0,366942.0,6014.0,4888.0,5811.0,352126.0,793.0,1371.0,1185.0,365490.0,579.0,1316.0,926.0,366018.0,1207.0,1321.0,685.0,365626.0
16,2565.2517755031586,0.12100002384852296,0.18080504596815697,0.6255562901496887,0.4898292124271393,0.04382031783461571,0.045519281178712845,0.5857142806053162,0.00015,0.6138821244239807,0.6376830339431763,144293.0,90757.0,81984.0,4846712.0,35780.0,9041.0,12833.0,311185.0,2628.0,1000.0,2766.0,362445.0,47966.0,12075.0,16521.0,292277.0,23154.0,26452.0,14533.0,304700.0,3519.0,2710.0,5561.0,357049.0,8512.0,21723.0,12111.0,326493.0,7731.0,2792.0,2869.0,355447.0,6702.0,5984.0,4528.0,351625.0,127.0,418.0,419.0,367875.0,118.0,1091.0,699.0,366931.0,5607.0,3549.0,6218.0,353465.0,728.0,1150.0,1250.0,365711.0,569.0,1676.0,936.0,365658.0,1152.0,1096.0,740.0,365851.0
17,2577.7793805599213,0.1178115358946465,0.17592135699427777,0.6466422080993652,0.5031413435935974,0.04382031783461571,0.04586263373494148,0.5857143402099609,0.00015,0.632244348526001,0.6617110967636108,149730.0,87093.0,76547.0,4850376.0,36781.0,10330.0,11832.0,309896.0,2691.0,1071.0,2703.0,362374.0,48691.0,11517.0,15796.0,292835.0,25515.0,23387.0,12172.0,307765.0,3631.0,2494.0,5449.0,357265.0,8633.0,18799.0,11990.0,329417.0,7650.0,2155.0,2950.0,356084.0,7312.0,6596.0,3918.0,351013.0,118.0,404.0,428.0,367889.0,189.0,2026.0,628.0,365996.0,6121.0,4853.0,5704.0,352161.0,765.0,1278.0,1213.0,365583.0,572.0,1098.0,933.0,366236.0,1061.0,1085.0,831.0,365862.0
18,2794.882509469986,0.1138042371701987,0.17510247179764943,0.646138072013855,0.5047654509544373,0.04382031783461571,0.045754574239254,0.5785713791847229,0.00015,0.6324805021286011,0.660398542881012,149433.0,86832.0,76844.0,4850637.0,36790.0,10029.0,11823.0,310197.0,2615.0,888.0,2779.0,362557.0,48622.0,11924.0,15865.0,292428.0,25398.0,23990.0,12289.0,307162.0,3918.0,3402.0,5162.0,356357.0,8366.0,17218.0,12257.0,330998.0,7777.0,2394.0,2823.0,355845.0,7222.0,6141.0,4008.0,351468.0,172.0,675.0,374.0,367618.0,119.0,1958.0,698.0,366064.0,5733.0,3893.0,6092.0,353121.0,856.0,1497.0,1122.0,365364.0,714.0,1742.0,791.0,365592.0,1131.0,1081.0,761.0,365866.0
19,4108.202447652817,0.11301269341396335,0.17607794155856807,0.6508907079696655,0.5099724531173706,0.04382031783461571,0.046952929347753525,0.5749999284744263,0.00015,0.6291776299476624,0.6741560101509094,152546.0,89907.0,73731.0,4847562.0,36716.0,9604.0,11897.0,310622.0,2664.0,921.0,2730.0,362524.0,49389.0,12287.0,15098.0,292065.0,26877.0,26522.0,10810.0,304630.0,3911.0,3558.0,5169.0,356201.0,8275.0,17699.0,12348.0,330517.0,7561.0,1997.0,3039.0,356242.0,7463.0,7122.0,3767.0,350487.0,126.0,636.0,420.0,367657.0,124.0,824.0,693.0,367198.0,6739.0,4774.0,5086.0,352240.0,799.0,1120.0,1179.0,365741.0,718.0,1554.0,787.0,365780.0,1184.0,1289.0,708.0,365658.0
20,4157.579895496368,0.1123169864983718,0.1752211012504552,0.6509580016136169,0.5128622055053711,0.04382031783461571,0.0464705266058445,0.5678571462631226,0.00015,0.6323959827423096,0.670642614364624,151751.0,88211.0,74526.0,4849258.0,36690.0,10351.0,11923.0,309875.0,2722.0,958.0,2672.0,362487.0,49191.0,11451.0,15296.0,292901.0,25910.0,23940.0,11777.0,307212.0,3683.0,2367.0,5397.0,357392.0,9015.0,20349.0,11608.0,327867.0,7690.0,2149.0,2910.0,356090.0,7758.0,6932.0,3472.0,350677.0,136.0,466.0,410.0,367827.0,147.0,1046.0,670.0,366976.0,6371.0,4914.0,5454.0,352100.0,791.0,1043.0,1187.0,365818.0,588.0,1173.0,917.0,366161.0,1059.0,1072.0,833.0,365875.0
