epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
2,train,8,vibraslap,0.03191489353775978,0.6000000238418579,0.060606058686971664,0.3999999761581421,3.0,91.0,2.0,24.0,5.0
2,train,9,crash,0.0,0.0,0.0,0.699999988079071,0.0,9.0,5.0,106.0,5.0
2,train,10,ride_bow,0.1428571492433548,0.29411765933036804,0.19230769574642181,0.699999988079071,5.0,30.0,12.0,73.0,17.0
2,train,11,ride_bell,0.03846153989434242,0.1428571492433548,0.06060606241226196,0.75,1.0,25.0,6.0,88.0,7.0
2,train,12,chinese_cymbal,0.03125,0.20000000298023224,0.054054051637649536,0.3999999761581421,1.0,31.0,4.0,84.0,5.0
2,train,13,splash_cymbal,0.02222222276031971,0.4000000059604645,0.04210526496171951,0.10000000149011612,2.0,88.0,3.0,27.0,5.0
3,train,0,kick,0.40186914801597595,0.914893627166748,0.5584415197372437,0.10000000149011612,43.0,64.0,4.0,9.0,47.0
3,train,1,xstick,0.06451612710952759,1.0,0.12121212482452393,0.10000000149011612,6.0,87.0,0.0,27.0,6.0
3,train,2,snare,0.30188679695129395,0.9142857193946838,0.4539007246494293,0.10000000149011612,32.0,74.0,3.0,11.0,35.0
3,train,3,hihat_pedal,0.1505376398563385,0.6666666865348816,0.24561402201652527,0.10000000149011612,14.0,79.0,7.0,20.0,21.0
3,train,4,hihat_closed,0.1504424810409546,0.8947368264198303,0.25757572054862976,0.17499999701976776,17.0,96.0,2.0,5.0,19.0
3,train,5,hihat_open,0.0625,0.6666666865348816,0.11428571492433548,0.125,4.0,60.0,2.0,54.0,6.0
3,train,6,tom,0.08602150529623032,0.6666666865348816,0.15238095819950104,0.10000000149011612,8.0,85.0,4.0,23.0,12.0
3,train,7,floor_tom,0.0595238097012043,0.625,0.10869564861059189,0.10000000149011612,5.0,79.0,3.0,33.0,8.0
3,train,8,vibraslap,0.0476190485060215,0.4000000059604645,0.08510638773441315,0.42499998211860657,2.0,40.0,3.0,75.0,5.0
3,train,9,crash,0.09090909361839294,0.20000000298023224,0.125,0.699999988079071,1.0,10.0,4.0,105.0,5.0
3,train,10,ride_bow,0.1111111119389534,0.05882352963089943,0.07692307233810425,0.6000000238418579,1.0,8.0,16.0,95.0,17.0
3,train,11,ride_bell,0.0625,0.1428571492433548,0.08695651590824127,0.675000011920929,1.0,15.0,6.0,98.0,7.0
3,train,12,chinese_cymbal,0.0,0.0,0.0,0.32499998807907104,0.0,27.0,5.0,88.0,5.0
3,train,13,splash_cymbal,0.02469135820865631,0.4000000059604645,0.04651162773370743,0.10000000149011612,2.0,79.0,3.0,36.0,5.0
4,train,0,kick,0.39823007583618164,0.957446813583374,0.5625,0.10000000149011612,45.0,68.0,2.0,5.0,47.0
4,train,1,xstick,0.07594936341047287,1.0,0.1411764770746231,0.10000000149011612,6.0,73.0,0.0,41.0,6.0
4,train,2,snare,0.3100000023841858,0.8857142925262451,0.4592592716217041,0.10000000149011612,31.0,69.0,4.0,16.0,35.0
4,train,3,hihat_pedal,0.15000000596046448,0.7142857313156128,0.24793390929698944,0.10000000149011612,15.0,85.0,6.0,14.0,21.0
4,train,4,hihat_closed,0.1568627506494522,0.8421052694320679,0.26446282863616943,0.19999998807907104,16.0,86.0,3.0,15.0,19.0
4,train,5,hihat_open,0.06060606241226196,0.6666666865348816,0.111111119389534,0.10000000149011612,4.0,62.0,2.0,52.0,6.0
4,train,6,tom,0.09803921729326248,0.8333333134651184,0.17543861269950867,0.10000000149011612,10.0,92.0,2.0,16.0,12.0
4,train,7,floor_tom,0.06493506580591202,0.625,0.11764705181121826,0.10000000149011612,5.0,72.0,3.0,40.0,8.0
