epoch,split,loss,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,fr_avg,fr_max,threshold_mean,lr
1,train,1.2532102982203166,0.14974619448184967,0.4621409773826599,0.22619807720184326,0.12261869013309479,0.38794225454330444,0.17397689819335938,0.0,79.18161214192709,169.33138631184895,0.24999995529651642,0.0003
2,train,0.9421039541562398,0.15287356078624725,0.6945169568061829,0.2505887746810913,0.1225174069404602,0.5576902031898499,0.18845561146736145,0.0,62.6608642578125,142.6114267985026,0.2803570628166199,0.0003
3,train,0.843233565489451,0.16903145611286163,0.7154046893119812,0.27345308661460876,0.13734033703804016,0.5555706024169922,0.20303857326507568,0.0,52.04330342610677,117.39340413411459,0.29821425676345825,0.0003
4,train,0.7845172246297201,0.1700182855129242,0.7284595370292664,0.2756916880607605,0.13850614428520203,0.5715724229812622,0.20362545549869537,0.0,44.63117446899414,106.39534250895183,0.3196428418159485,0.0003
5,train,0.7407457788785299,0.18030691146850586,0.7362924218177795,0.2896764278411865,0.14608432352542877,0.5877963304519653,0.21352951228618622,0.0,39.0509521484375,92.70832672119141,0.3107142746448517,0.0003
6,train,0.7049936374028524,0.1967763602733612,0.7650130391120911,0.31303417682647705,0.17758993804454803,0.5914214253425598,0.24512793123722076,0.0,34.6711841583252,83.72092463175456,0.32321426272392273,0.0003
7,train,0.6771597544352214,0.20696721971035004,0.7911227345466614,0.3280996084213257,0.19459731876850128,0.6494620442390442,0.2620380222797394,0.0,31.209970219930014,73.64340769449869,0.3017856776714325,0.0003
8,train,0.6589001774787903,0.19086357951164246,0.7963446378707886,0.307925283908844,0.18920257687568665,0.6848987936973572,0.2557157874107361,0.0,28.452979405721027,68.45929870605468,0.294642835855484,0.0003
9,train,0.6407867908477783,0.2063702791929245,0.8120104670524597,0.32910051941871643,0.2177874743938446,0.6886318325996399,0.2862835228443146,0.0,26.148973592122395,61.79747619628906,0.27857139706611633,0.0003
10,train,0.622650674978892,0.2023809552192688,0.8433420658111572,0.32642748951911926,0.23472288250923157,0.7661319375038147,0.29787948727607727,0.0,24.241932805379232,58.16375605265299,0.28214284777641296,0.0003
11,train,0.6087545275688171,0.2143799513578415,0.8485639691352844,0.3422854244709015,0.2432614266872406,0.7746987342834473,0.3191979229450226,0.0,22.638836924235026,53.17344640096029,0.28035712242126465,0.0003
12,train,0.5980375329653422,0.21182586252689362,0.8511749505996704,0.3392299711704254,0.2565305531024933,0.7580233812332153,0.3294990062713623,0.0,21.279976908365885,51.962206013997395,0.2928571105003357,0.0003
13,train,0.5842292408148447,0.2135794311761856,0.8459529876708984,0.3410526216030121,0.2605295777320862,0.7598902583122253,0.32983312010765076,0.0,20.12466189066569,48.83720728556315,0.2678571045398712,0.0003
14,train,0.5726518551508586,0.217084139585495,0.8825065493583679,0.3484536111354828,0.29306864738464355,0.8320827484130859,0.36553362011909485,0.0,19.126902770996093,48.08623708089193,0.2678571343421936,0.0003
15,train,0.5628315309683481,0.22706270217895508,0.8981723189353943,0.3624868392944336,0.28470033407211304,0.859744131565094,0.3743270933628082,0.0,18.25641835530599,45.34883448282878,0.2749999761581421,0.0003
