epoch,epoch_time_sec,train_loss,val_loss,val_microF1,val_macroF1,pos_rate_y,pos_rate_pred,threshold
1,303.82085061073303,0.14487256817990138,0.10537251625039162,0.7071583271026611,0.2579438090324402,0.08256880939006805,0.06847968697547913,0.5
2,298.97854018211365,0.10032337539573762,0.09405882219108966,0.7441314458847046,0.29025885462760925,0.08256880939006805,0.05701179429888725,0.5
3,292.8977839946747,0.08933864947061998,0.08464685362686805,0.7874186635017395,0.3507118225097656,0.08256880939006805,0.06847968697547913,0.5
4,288.6111352443695,0.08095901022343356,0.08107049189029483,0.8044198751449585,0.34428372979164124,0.08256880939006805,0.06569463014602661,0.5
5,287.89267921447754,0.07632835010060213,0.07909414172172546,0.8034006357192993,0.38451486825942993,0.08256880939006805,0.07159239798784256,0.5
6,290.5072362422943,0.06932844379414237,0.07676434428046602,0.8013620972633362,0.3720412254333496,0.08256880939006805,0.06176277995109558,0.5
7,286.648072719574,0.06771401990414624,0.08051100113523116,0.8167860507965088,0.39722177386283875,0.08256880939006805,0.0774901732802391,0.5
8,288.45439314842224,0.06454840844794338,0.07644845986174881,0.8271334767341614,0.3977016806602478,0.08256880939006805,0.06716907024383545,0.5
9,288.39238381385803,0.06262985509141304,0.07663916837458216,0.826310396194458,0.3971709907054901,0.08256880939006805,0.07683486491441727,0.5
10,286.2542154788971,0.05799908656306163,0.09225525761689615,0.7949599027633667,0.37421780824661255,0.08256880939006805,0.060452163219451904,0.5
11,290.9513523578644,0.05847822466328415,0.0716450596826339,0.8354700803756714,0.4020562469959259,0.08256880939006805,0.07077326625585556,0.5
12,285.16757440567017,0.0573238540958318,0.08904707937612447,0.791208803653717,0.35724273324012756,0.08256880939006805,0.06651376187801361,0.5
13,287.97953510284424,0.05355503798454966,0.07439941321627809,0.8223684430122375,0.3965884745121002,0.08256880939006805,0.06684141606092453,0.5
14,289.861004114151,0.05374151370333065,0.08148558919719599,0.8245614171028137,0.3898608088493347,0.08256880939006805,0.06684141606092453,0.5
15,286.2216796875,0.05185777081516662,0.07294459439335613,0.8442534804344177,0.40468937158584595,0.08256880939006805,0.06995412707328796,0.5
16,288.47376251220703,0.05015411465316497,0.08104593347792231,0.8062360882759094,0.37278881669044495,0.08256880939006805,0.0645478367805481,0.5
17,287.20015120506287,0.050741338086593576,0.10413629462549445,0.8113636374473572,0.3876626193523407,0.08256880939006805,0.06159895285964012,0.5
18,286.03717374801636,0.047359147640511856,0.07619904689149025,0.8387096524238586,0.4021797180175781,0.08256880939006805,0.0799475759267807,0.5
19,288.2162744998932,0.04863008050981537,0.09312081613808597,0.8168724179267883,0.3937974274158478,0.08256880939006805,0.07667103409767151,0.5
20,284.5715420246124,0.04799186484941659,0.06978338768859522,0.8586723804473877,0.41254734992980957,0.08256880939006805,0.07044561207294464,0.5
21,286.76522159576416,0.04643803874049956,0.06668474077494867,0.8627858757972717,0.4120776355266571,0.08256880939006805,0.07503276318311691,0.5
22,287.20672130584717,0.0456465731035965,0.0679117089838063,0.8684759736061096,0.4187707006931305,0.08256880939006805,0.07437745481729507,0.5
23,288.76005005836487,0.04442881534023619,0.06459202716520074,0.8501594066619873,0.41156816482543945,0.08256880939006805,0.07159239798784256,0.5
24,288.49534034729004,0.043428730561764724,0.12291979974289553,0.8082788586616516,0.35911503434181213,0.08256880939006805,0.06782437860965729,0.5
25,288.67785596847534,0.043138796606889136,0.07186039174915454,0.8302658200263977,0.4020721912384033,0.08256880939006805,0.07765399664640427,0.5
26,286.8196997642517,0.04258064251611208,0.06714259669047977,0.8637316823005676,0.4141998291015625,0.08256880939006805,0.07372214645147324,0.5
27,289.77794766426086,0.04139457544660459,0.07673737112808665,0.8111454844474792,0.38730260729789734,0.08256880939006805,0.07617955654859543,0.5
28,286.2364091873169,0.04145190313064956,0.08215953843719369,0.7922374606132507,0.3883588910102844,0.08256880939006805,0.06094364449381828,0.5
