epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
1,train,0,kick,0.4479272961616516,0.1757705956697464,0.2524698078632355,0.3999999761581421,4830.0,5953.0,22649.0,72219.0,27479.0
1,train,1,xstick,0.06639838963747025,0.006666666828095913,0.012116760015487671,0.19999998807907104,33.0,464.0,4917.0,100237.0,4950.0
1,train,2,snare,0.4030311405658722,0.13375559449195862,0.20085321366786957,0.25,4308.0,6381.0,27900.0,67062.0,32208.0
1,train,3,hihat_pedal,0.16337871551513672,0.03912435844540596,0.06313076615333557,0.25,588.0,3011.0,14441.0,87611.0,15029.0
1,train,4,hihat_closed,0.05542168766260147,0.0032453788444399834,0.006131696980446577,0.2749999761581421,23.0,392.0,7064.0,98172.0,7087.0
1,train,5,hihat_open,0.056603774428367615,0.011448395438492298,0.019044868648052216,0.29999998211860657,66.0,1100.0,5699.0,98786.0,5765.0
1,train,6,tom,0.30012422800064087,0.06120794638991356,0.10167922079563141,0.3999999761581421,1208.0,2817.0,18528.0,83098.0,19736.0
1,train,7,floor_tom,0.2293519675731659,0.021249042823910713,0.03889457508921623,0.3499999940395355,361.0,1213.0,16628.0,87449.0,16989.0
1,train,8,vibraslap,0.09383954107761383,0.07708149403333664,0.08463898301124573,0.375,262.0,2530.0,3137.0,99722.0,3399.0
1,train,9,crash,0.03861788660287857,0.015728477388620377,0.02235293760895729,0.2749999761581421,38.0,946.0,2378.0,102289.0,2416.0
1,train,10,ride_bow,0.09566517174243927,0.010430247522890568,0.018809698522090912,0.32499998807907104,64.0,605.0,6072.0,98910.0,6136.0
1,train,11,ride_bell,0.03030303120613098,0.0033783784601837397,0.006079025100916624,0.17499999701976776,5.0,160.0,1475.0,104011.0,1480.0
1,train,12,chinese_cymbal,0.19790177047252655,0.2385057508945465,0.21631483733654022,0.824999988079071,830.0,3364.0,2650.0,98807.0,3480.0
1,train,13,splash_cymbal,0.1722978949546814,0.14587388932704926,0.15798863768577576,0.22499999403953552,974.0,4679.0,5703.0,94295.0,6677.0
2,train,0,kick,0.4438740313053131,0.6021361947059631,0.5110325217247009,0.42499998211860657,16687.0,20907.0,11026.0,57031.0,27713.0
2,train,1,xstick,0.06253979355096817,0.6837708950042725,0.11459808796644211,0.2749999761581421,3438.0,51535.0,1590.0,49088.0,5028.0
2,train,2,snare,0.3198195993900299,0.9694543480873108,0.4809691309928894,0.3499999940395355,31484.0,66959.0,992.0,6216.0,32476.0
2,train,3,hihat_pedal,0.14389042556285858,0.9765149354934692,0.2508220076560974,0.19999998807907104,14761.0,87824.0,355.0,2711.0,15116.0
2,train,4,hihat_closed,0.08864282816648483,0.40503108501434326,0.14545269310474396,0.29999998211860657,2866.0,29466.0,4210.0,69109.0,7076.0
