epoch,split,loss,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,fr_avg,fr_max,threshold_mean,lr
1,train,0.7005742634382274,0.28789323568344116,0.08892174810171127,0.13587553799152374,0.16791875660419464,0.06739044934511185,0.08575034886598587,0.09057179093360901,15.930928450292129,28.145635503194754,0.3303571045398712,0.0003
2,train,0.6790438702996255,0.18991801142692566,0.6244904398918152,0.29125919938087463,0.1623411923646927,0.46591779589653015,0.21186795830726624,0.0013629781315103173,15.382068947544248,25.10133980794938,0.3375000059604645,0.0003
3,train,0.677028138551609,0.1926061511039734,0.6000522375106812,0.2916104793548584,0.174371138215065,0.4490496814250946,0.22213348746299744,0.002309490693733096,15.196921685765831,23.69476783672728,0.3196428120136261,0.0003
4,train,0.676065949540952,0.1909390091896057,0.5985051989555359,0.28951504826545715,0.17254595458507538,0.4480252265930176,0.2206195741891861,0.0018646297976374626,15.218456057112986,22.95148010921074,0.31607142090797424,0.0003
5,train,0.6783455200347005,0.1872633844614029,0.5922706723213196,0.28455615043640137,0.1709011048078537,0.44393983483314514,0.2170577347278595,0.002035001991316676,15.2242759528989,22.49066223858487,0.33214280009269714,0.0003
6,train,0.6477304554917823,0.18489998579025269,0.5673482418060303,0.27890443801879883,0.16421349346637726,0.4017959237098694,0.20335949957370758,0.0025555838365107775,15.210882696796373,22.29294616507444,0.3017857074737549,0.0003
7,train,0.6420166681923023,0.18856224417686462,0.5725577473640442,0.2836945056915283,0.1717671900987625,0.4053652584552765,0.20717844367027283,0.0028395378030836582,15.194242673235038,20.323378590798104,0.26071426272392273,0.00015
8,train,0.6438648002810411,0.18771298229694366,0.5729133486747742,0.28277555108070374,0.1720719337463379,0.40781956911087036,0.2068655788898468,0.0028206075076013803,15.198117577762476,20.346690011703195,0.3196428120136261,0.00015
9,train,0.6405866742985984,0.1900685727596283,0.5736637115478516,0.2855331599712372,0.1720164567232132,0.4016874432563782,0.20680354535579681,0.002972049405798316,15.192515339149553,20.256287182265524,0.32678571343421936,0.00015
10,train,0.6422167090344834,0.1898500919342041,0.5733139514923096,0.28524327278137207,0.17295166850090027,0.4051814377307892,0.20871950685977936,0.0030099099967628717,15.190640313202218,20.06838354639831,0.29821425676345825,0.00015
11,train,0.6364187985482908,0.1954781413078308,0.5761707425117493,0.29191720485687256,0.17843234539031982,0.4021873474121094,0.2111799269914627,0.0031045612413436174,15.074131999717634,19.02463342030073,0.3035714030265808,7.5e-05
12,train,0.6360569325008807,0.1881684809923172,0.6382917761802673,0.2906525433063507,0.1573479324579239,0.4800352454185486,0.22306956350803375,0.0032560033723711967,15.05932721421619,19.005081906021182,0.3125,7.5e-05
13,train,0.6368259723126173,0.18520495295524597,0.6490538716316223,0.2881791293621063,0.15709082782268524,0.4954197406768799,0.22480738162994385,0.0025177234783768654,15.081212781256866,19.017828911741454,0.3124999701976776,7.5e-05
14,train,0.6347751377243839,0.18602535128593445,0.6442389488220215,0.2886906564235687,0.1566745489835739,0.48775723576545715,0.22313106060028076,0.002990979701280594,15.035722193899911,18.905545262551033,0.30714279413223267,7.5e-05
15,train,0.6346649412146879,0.1865842491388321,0.6447442770004272,0.2894141674041748,0.15708373486995697,0.48872581124305725,0.22420087456703186,0.002990979701280594,15.034759566828672,18.907104225753656,0.29999998211860657,7.5e-05
16,train,0.6118253376673228,0.18584421277046204,0.6187463998794556,0.2858358919620514,0.15701015293598175,0.45141512155532837,0.215424582362175,0.004666307009756565,14.892263107051422,18.313185692844357,0.294642835855484,3.75e-05
17,train,0.6114579858380456,0.18693390488624573,0.6156679391860962,0.28679031133651733,0.15770845115184784,0.4492824971675873,0.2155742645263672,0.005508703179657459,14.942108156968434,18.301392409095325,0.3053571283817291,3.75e-05
18,train,0.6116654849295245,0.18760152161121368,0.6141040325164795,0.2874043881893158,0.15730078518390656,0.44714322686195374,0.21524477005004883,0.005660145077854395,14.895663489651348,18.301043947995034,0.3125,3.75e-05
19,train,0.6102197224338469,0.18875788152217865,0.6117402911186218,0.28849735856056213,0.15832827985286713,0.44475695490837097,0.21628618240356445,0.006000889930874109,14.90630435582582,18.28613269379614,0.30892854928970337,3.75e-05
20,train,0.6087243464879128,0.18899866938591003,0.6166535019874573,0.2893225848674774,0.15979592502117157,0.45023033022880554,0.21845607459545135,0.006937937345355749,14.893625847142369,18.061693781148588,0.30892854928970337,1.875e-05
21,train,0.6085782816303528,0.18946963548660278,0.6165671348571777,0.28986456990242004,0.16001486778259277,0.4485105872154236,0.21784310042858124,0.0066350530833005905,14.878485065889965,18.02592879436292,0.3017856776714325,1.875e-05
1,validation,0.6221864346575486,0.17601938545703888,0.6685742735862732,0.27867135405540466,0.1391417682170868,0.4788987636566162,0.20209886133670807,0.0020125224255025387,0.0,0.0,0.3303571045398712,0.0003
2,validation,0.6051698776320752,0.17620877921581268,0.6440620422363281,0.27671200037002563,0.16296164691448212,0.47097301483154297,0.21896442770957947,0.0016398330917581916,0.0,0.0,0.3375000059604645,0.0003
3,validation,0.6170934328050032,0.1656806468963623,0.6735767722129822,0.2659461498260498,0.13903427124023438,0.49763235449790955,0.20337775349617004,0.000645994849037379,0.0,0.0,0.3196428120136261,0.0003
4,validation,0.6209058094583859,0.16966897249221802,0.6952676177024841,0.2727722227573395,0.15022073686122894,0.4957517087459564,0.20893624424934387,0.00014907572767697275,0.0,0.0,0.31607142090797424,0.0003
5,validation,0.6139139347985354,0.1618274301290512,0.7098549008369446,0.2635684907436371,0.1436404436826706,0.523459255695343,0.2076006680727005,0.00014907572767697275,0.0,0.0,0.33214280009269714,0.0003
6,validation,0.6028356690502527,0.16926302015781403,0.6657328605651855,0.2699030041694641,0.14453254640102386,0.49135273694992065,0.20810043811798096,0.003031206550076604,0.0,0.0,0.3017857074737549,0.0003
7,validation,0.6217503635221294,0.14539429545402527,0.7173386812210083,0.24178269505500793,0.14509975910186768,0.5721039772033691,0.20561160147190094,2.484595461282879e-05,0.0,0.0,0.26071426272392273,0.00015
8,validation,0.6089622411640708,0.17706751823425293,0.669674813747406,0.2800796627998352,0.1514405459165573,0.4648396968841553,0.21051713824272156,0.0008944543660618365,0.0,0.0,0.3196428120136261,0.00015
9,validation,0.6047191802798055,0.1670616865158081,0.6375187635421753,0.2647465765476227,0.1503383070230484,0.48264893889427185,0.21050520241260529,0.004198966547846794,0.0,0.0,0.32678571343421936,0.00015
10,validation,0.6000528261643048,0.1717633605003357,0.6320960521697998,0.2701241970062256,0.15860415995121002,0.46545538306236267,0.21250228583812714,0.0029069767333567142,0.0,0.0,0.29821425676345825,0.00015
